emb_t,tok_t,background_recall_corr1_pearson,background_recall_corr1_spearman,background_recall_corr1_kendall,ques_recall_corr1_pearson,ques_recall_corr1_spearman,ques_recall_corr1_kendall,background_recall_corr2_pb,ques_recall_corr2_pb,background_recall_corr3_pearson,background_recall_corr3_spearman,background_recall_corr3_kendall,ques_recall_corr3_pearson,ques_recall_corr3_spearman,ques_recall_corr3_kendall,background_recall_corr1_p_pearson,background_recall_corr1_p_spearman,background_recall_corr1_p_kendall,ques_recall_corr1_p_pearson,ques_recall_corr1_p_spearman,ques_recall_corr1_p_kendall,background_recall_corr2_p_pb,ques_recall_corr2_p_pb,background_recall_corr3_p_pearson,background_recall_corr3_p_spearman,background_recall_corr3_p_kendall,ques_recall_corr3_p_pearson,ques_recall_corr3_p_spearman,ques_recall_corr3_p_kendall
0.75,0.6,0.8754,0.9286,0.8095,0.6035,0.6071,0.5238,0.0988,0.0165,0.169,0.154,0.112,0.048,0.079,0.063,0.0098,0.0025,0.0107,0.1513,0.1482,0.1361,0.0035,0.6263,0.0,0.0,0.0,0.158,0.02,0.021
0.75,0.7,0.8466,0.8571,0.7143,0.6724,0.5357,0.4286,0.0964,0.0379,0.175,0.162,0.118,0.04,0.07,0.057,0.0163,0.0137,0.0302,0.0979,0.2152,0.2389,0.0043,0.2631,0.0,0.0,0.0,0.242,0.037,0.039
0.8,0.0,0.8314,0.9286,0.8095,0.6448,0.5357,0.4286,0.0643,0.0493,0.145,0.128,0.093,0.061,0.067,0.052,0.0204,0.0025,0.0107,0.1179,0.2152,0.2389,0.0571,0.1447,0.0,0.0,0.0,0.07,0.049,0.052
0.8,0.1,0.8603,0.9286,0.8095,0.6759,0.75,0.619,0.0747,0.0284,0.154,0.148,0.108,0.063,0.076,0.06,0.013,0.0025,0.0107,0.0956,0.0522,0.069,0.0272,0.4018,0.0,0.0,0.0,0.061,0.024,0.025
0.8,0.2,0.8613,0.9286,0.8095,0.6697,0.75,0.619,0.0755,0.0279,0.152,0.146,0.107,0.063,0.076,0.06,0.0127,0.0025,0.0107,0.0998,0.0522,0.069,0.0256,0.4096,0.0,0.0,0.0,0.062,0.025,0.026
0.8,0.3,0.8675,0.9286,0.8095,0.7134,0.75,0.619,0.0774,0.0197,0.159,0.154,0.112,0.051,0.07,0.055,0.0114,0.0025,0.0107,0.0719,0.0522,0.069,0.022,0.5596,0.0,0.0,0.0,0.128,0.039,0.041
0.8,0.4,0.8786,0.9286,0.8095,0.6057,0.6071,0.5238,0.0965,0.0375,0.166,0.157,0.114,0.033,0.055,0.044,0.0092,0.0025,0.0107,0.1495,0.1482,0.1361,0.0043,0.2676,0.0,0.0,0.0,0.323,0.102,0.107
0.8,0.5,0.8877,0.9286,0.8095,0.5607,0.4643,0.4286,0.0977,0.0196,0.172,0.163,0.119,0.031,0.047,0.037,0.0076,0.0025,0.0107,0.1904,0.2939,0.2389,0.0038,0.5633,0.0,0.0,0.0,0.36,0.165,0.171
0.8,0.6,0.8765,0.9286,0.8095,0.6128,0.6429,0.619,0.1038,0.0215,0.166,0.152,0.111,0.049,0.078,0.063,0.0096,0.0025,0.0107,0.1435,0.1194,0.069,0.0021,0.5245,0.0,0.0,0.0,0.148,0.021,0.022
0.8,0.7,0.848,0.8571,0.7143,0.6724,0.5357,0.4286,0.0955,0.0379,0.175,0.163,0.119,0.04,0.07,0.057,0.0159,0.0137,0.0302,0.0979,0.2152,0.2389,0.0047,0.2631,0.0,0.0,0.0,0.242,0.037,0.039
0.85,0.0,0.785,0.8214,0.7143,0.5185,0.5357,0.4286,0.0703,0.0357,0.145,0.118,0.085,0.035,0.054,0.043,0.0365,0.0234,0.0302,0.2331,0.2152,0.2389,0.0376,0.2914,0.0,0.0,0.0,0.306,0.109,0.113
0.85,0.1,0.8019,0.9286,0.8095,0.5308,0.5357,0.4286,0.0775,0.0254,0.152,0.135,0.099,0.037,0.057,0.045,0.0301,0.0025,0.0107,0.2203,0.2152,0.2389,0.0219,0.453,0.0,0.0,0.0,0.272,0.091,0.093
0.85,0.2,0.8082,0.9286,0.8095,0.5691,0.5357,0.4286,0.0766,0.0288,0.149,0.134,0.097,0.039,0.059,0.047,0.0278,0.0025,0.0107,0.1823,0.2152,0.2389,0.0234,0.3953,0.0,0.0,0.0,0.248,0.083,0.085
0.85,0.3,0.8327,0.9286,0.8095,0.5749,0.5357,0.4286,0.0782,0.0223,0.151,0.136,0.099,0.038,0.058,0.046,0.02,0.0025,0.0107,0.177,0.2152,0.2389,0.0207,0.5092,0.0,0.0,0.0,0.263,0.089,0.091
0.85,0.4,0.8529,0.9286,0.8095,0.4788,0.5357,0.4286,0.0987,0.0182,0.159,0.141,0.102,0.022,0.041,0.033,0.0147,0.0025,0.0107,0.277,0.2152,0.2389,0.0035,0.5911,0.0,0.0,0.0,0.514,0.225,0.229
0.85,0.5,0.862,0.9286,0.8095,0.4062,0.3929,0.3333,0.0987,0.0032,0.164,0.147,0.107,0.019,0.032,0.026,0.0126,0.0025,0.0107,0.3659,0.3833,0.3813,0.0035,0.9252,0.0,0.0,0.0,0.572,0.337,0.342
0.85,0.6,0.8736,0.9286,0.8095,0.6003,0.5714,0.5238,0.1046,0.0198,0.163,0.144,0.105,0.052,0.075,0.061,0.0102,0.0025,0.0107,0.1541,0.1802,0.1361,0.0019,0.5585,0.0,0.0,0.0,0.121,0.026,0.027
0.85,0.7,0.849,0.8571,0.7143,0.6724,0.5357,0.4286,0.0965,0.0379,0.175,0.161,0.118,0.04,0.07,0.057,0.0157,0.0137,0.0302,0.0979,0.2152,0.2389,0.0043,0.2631,0.0,0.0,0.0,0.242,0.037,0.039
0.9,0.0,0.8027,0.9286,0.8095,0.4341,0.5357,0.4286,0.0784,0.0385,0.156,0.123,0.089,0.02,0.039,0.031,0.0298,0.0025,0.0107,0.3305,0.2152,0.2389,0.0204,0.2552,0.0,0.0,0.0,0.552,0.254,0.259
0.9,0.1,0.8264,0.9286,0.8095,0.4431,0.5357,0.4286,0.0828,0.0345,0.16,0.137,0.099,0.02,0.038,0.03,0.0219,0.0025,0.0107,0.3194,0.2152,0.2389,0.0143,0.3077,0.0,0.0,0.0,0.554,0.261,0.264
0.9,0.2,0.8268,0.9286,0.8095,0.4431,0.5357,0.4286,0.0826,0.0345,0.16,0.136,0.099,0.02,0.038,0.03,0.0218,0.0025,0.0107,0.3194,0.2152,0.2389,0.0146,0.3077,0.0,0.0,0.0,0.554,0.261,0.264
0.9,0.3,0.8329,0.9286,0.8095,0.4437,0.5357,0.4286,0.085,0.0344,0.162,0.14,0.102,0.019,0.037,0.03,0.02,0.0025,0.0107,0.3186,0.2152,0.2389,0.0118,0.3088,0.0,0.0,0.0,0.567,0.268,0.273
0.9,0.4,0.8516,0.8571,0.7143,0.4256,0.5357,0.4286,0.101,0.0353,0.17,0.151,0.11,0.02,0.037,0.03,0.015,0.0137,0.0302,0.3411,0.2152,0.2389,0.0028,0.2964,0.0,0.0,0.0,0.553,0.273,0.276
0.9,0.5,0.8527,0.8571,0.7143,0.332,0.3214,0.3333,0.1009,0.0208,0.17,0.15,0.109,0.017,0.029,0.024,0.0148,0.0137,0.0302,0.467,0.4821,0.3813,0.0028,0.5394,0.0,0.0,0.0,0.617,0.387,0.39
0.9,0.6,0.866,0.9286,0.8095,0.5657,0.6071,0.5238,0.1023,0.0287,0.167,0.15,0.109,0.037,0.063,0.051,0.0117,0.0025,0.0107,0.1856,0.1482,0.1361,0.0024,0.3969,0.0,0.0,0.0,0.275,0.061,0.062
0.9,0.7,0.8454,0.8571,0.7143,0.6724,0.5357,0.4286,0.0946,0.0379,0.174,0.161,0.117,0.04,0.07,0.057,0.0166,0.0137,0.0302,0.0979,0.2152,0.2389,0.0051,0.2631,0.0,0.0,0.0,0.242,0.037,0.039
